market,participation,similarity,shock,safeguard,seed,realised_volatility,maximum_drawdown,mean_pairwise_correlation,peak_herding,peak_asset_herding,mean_depth,mean_spread_or_cost,mean_absolute_order_flow,normalised_liquidity_deterioration,recovery_time,price_recovery_time,volatility_recovery_time,liquidity_recovery_time,pre_volatility,pre_correlation,pre_depth,pre_price_level,shock_volatility,shock_correlation,shock_depth,shock_price_level,recovery_volatility,recovery_correlation,recovery_depth,recovery_price_level
traditional,0.0,0.0,fundamental,execution_delay,11,0.032899575514793514,0.1164240699275914,0.22624851418692024,0.0,0.0,0.9531748697533203,0.0010337377874679336,0.04868101908120019,0.007265742983484036,0.0,0.0,1.0,0.0,0.01942666523972473,0.19306638402929932,0.9599513422154127,99.06265042483963,0.024352792003773546,0.2893511807495789,0.9537161285101763,96.20305163553037,0.021412698837315506,0.23204971158707335,0.9526336109964643,95.1906659689901
traditional,0.0,0.0,fundamental,execution_delay,29,0.028969524626951754,0.10787316424574973,0.0843140072330926,0.0,0.0,0.9584474125486299,0.0010156619422247545,0.04367086572969352,-0.0008211349176083793,0.0,0.0,2.0,0.0,0.01834324063778372,0.07309189210422903,0.9575654480101901,100.14804441082477,0.02378443024271252,0.13728260643058757,0.9576295571688758,97.86184369628961,0.01564119937920209,0.1127520715960765,0.9592652679283837,96.3976523401024
traditional,0.0,0.0,fundamental,execution_delay,47,0.027539356871371025,0.08784616733445558,0.04274139189355849,0.0,0.0,0.9600218272768168,0.001008681370647535,0.0438328577866904,0.0012906712447011692,3.0,0.0,0.0,0.0,0.018742780300296386,0.0562959219064497,0.9612613183710067,101.04305284090842,0.021358185760254927,0.09738400194812691,0.9584938821381641,98.70301374422341,0.016179249878328465,0.12318492610764717,0.9615497724154696,97.13775153639489
traditional,0.0,0.0,fundamental,execution_delay,71,0.027831627722086506,0.083494227691437,0.10463689676383307,0.0,0.0,0.9586910972459506,0.0010164123121416569,0.04405651746706324,0.00033503286036418167,4.0,0.0,2.0,0.0,0.01860191087572128,0.10646250196671889,0.9618341765729573,98.3601590074903,0.020197118150736736,0.16595901088288648,0.9610320702551924,97.21413559022916,0.01813689044514543,0.17608003127640762,0.9563501242367087,95.97546764510906
traditional,0.0,0.0,fundamental,execution_delay,101,0.03180418021660916,0.09909929083232312,0.017563754673267318,0.0,0.0,0.9586268203133405,0.0010220002250733733,0.04412385828014236,0.005004347691426214,1.0,0.0,4.0,0.0,0.019420677915206297,0.14789345329704456,0.9636672893396755,99.14042224729474,0.021066040482764118,0.16905832555828565,0.9584693769117996,99.24089339356532,0.022827682701774165,0.004357252327725769,0.9587842637148813,97.54617933244033
traditional,0.0,0.0,fundamental,execution_delay,131,0.030208051098129258,0.09649430377639981,-0.0140762796507405,0.0,0.0,0.95720240904847,0.0010192532039442332,0.043233486372987656,0.0046241837606804115,2.0,0.0,0.0,0.0,0.017924375844730462,0.16763116828491845,0.9621595124641178,100.83983880329325,0.02221568409044441,-0.10492228385589819,0.9567956749828755,98.98604801704188,0.01890850885439157,0.15360517734608212,0.9576091431140645,96.29185651595304
traditional,0.0,0.0,fundamental,execution_delay,173,0.03409728902035321,0.11451630215023978,0.09497086810539981,0.0,0.0,0.9559907618266286,0.0010282242642197556,0.04344623385822933,0.004340831813966939,13.0,0.0,14.0,0.0,0.015435192289126806,0.1635575061234426,0.965772535742955,99.85548408191076,0.025631142653266013,0.20729106735973768,0.9607513479129307,96.74732672731851,0.021426279700164075,0.07306855383965863,0.9512301757403264,94.76648295695998
traditional,0.0,0.0,fundamental,execution_delay,211,0.028661415660231237,0.08754384194551353,-6.544775473528164e-05,0.0,0.0,0.9550966419948252,0.0010256457745880792,0.049602375352281174,0.010407217018190806,3.0,0.0,8.0,0.0,0.018778922078631743,0.1600838996838722,0.963629516274633,101.54874386174848,0.024201709743840172,0.05424410215527745,0.9533489283944454,101.60165537761515,0.014588282062908664,0.0677336530600493,0.9568443555952051,99.14058702061232
traditional,0.0,0.0,fundamental,execution_delay,257,0.02730364207732101,0.08506133800406196,0.11796934821298577,0.0,0.0,0.9615240130499347,0.0010059966056738848,0.04138764739257379,-0.0005008959053420803,1.0,0.0,2.0,0.0,0.017796341667478698,0.21504325869004534,0.962600514856886,105.71033436064455,0.020361321432160618,0.08016348923804181,0.9618435044535819,103.47673475629534,0.016618493972639214,0.1603876153815471,0.9612045216462878,102.5306486999568
traditional,0.0,0.0,fundamental,execution_delay,307,0.0264902822873067,0.1379233076920035,0.12885707556664872,0.0,0.0,0.9603008753884571,0.0010035169506334468,0.03961125501254894,-0.0010289553993856337,4.0,0.0,0.0,0.0,0.02076286433077457,0.36593173245301414,0.9573035118716766,97.76259821964926,0.020019689637706554,0.14245448217432122,0.9576644664279758,95.4800394226196,0.01594459622366697,0.23116108183609732,0.9629372843489383,93.89302306333997
traditional,0.0,0.0,fundamental,position_limit,11,0.032899575514793514,0.1164240699275914,0.22624851418692024,0.0,0.0,0.9531748697533203,0.0010337377874679336,0.04868101908120019,0.007265742983484036,0.0,0.0,1.0,0.0,0.01942666523972473,0.19306638402929932,0.9599513422154127,99.06265042483963,0.024352792003773546,0.2893511807495789,0.9537161285101763,96.20305163553037,0.021412698837315506,0.23204971158707335,0.9526336109964643,95.1906659689901
traditional,0.0,0.0,fundamental,position_limit,29,0.028969524626951754,0.10787316424574973,0.0843140072330926,0.0,0.0,0.9584474125486299,0.0010156619422247545,0.04367086572969352,-0.0008211349176083793,0.0,0.0,2.0,0.0,0.01834324063778372,0.07309189210422903,0.9575654480101901,100.14804441082477,0.02378443024271252,0.13728260643058757,0.9576295571688758,97.86184369628961,0.01564119937920209,0.1127520715960765,0.9592652679283837,96.3976523401024
traditional,0.0,0.0,fundamental,position_limit,47,0.027539356871371025,0.08784616733445558,0.04274139189355849,0.0,0.0,0.9600218272768168,0.001008681370647535,0.0438328577866904,0.0012906712447011692,3.0,0.0,0.0,0.0,0.018742780300296386,0.0562959219064497,0.9612613183710067,101.04305284090842,0.021358185760254927,0.09738400194812691,0.9584938821381641,98.70301374422341,0.016179249878328465,0.12318492610764717,0.9615497724154696,97.13775153639489
traditional,0.0,0.0,fundamental,position_limit,71,0.027831627722086506,0.083494227691437,0.10463689676383307,0.0,0.0,0.9586910972459506,0.0010164123121416569,0.04405651746706324,0.00033503286036418167,4.0,0.0,2.0,0.0,0.01860191087572128,0.10646250196671889,0.9618341765729573,98.3601590074903,0.020197118150736736,0.16595901088288648,0.9610320702551924,97.21413559022916,0.01813689044514543,0.17608003127640762,0.9563501242367087,95.97546764510906
traditional,0.0,0.0,fundamental,position_limit,101,0.03180418021660916,0.09909929083232312,0.017563754673267318,0.0,0.0,0.9586268203133405,0.0010220002250733733,0.04412385828014236,0.005004347691426214,1.0,0.0,4.0,0.0,0.019420677915206297,0.14789345329704456,0.9636672893396755,99.14042224729474,0.021066040482764118,0.16905832555828565,0.9584693769117996,99.24089339356532,0.022827682701774165,0.004357252327725769,0.9587842637148813,97.54617933244033
traditional,0.0,0.0,fundamental,position_limit,131,0.030208051098129258,0.09649430377639981,-0.0140762796507405,0.0,0.0,0.95720240904847,0.0010192532039442332,0.043233486372987656,0.0046241837606804115,2.0,0.0,0.0,0.0,0.017924375844730462,0.16763116828491845,0.9621595124641178,100.83983880329325,0.02221568409044441,-0.10492228385589819,0.9567956749828755,98.98604801704188,0.01890850885439157,0.15360517734608212,0.9576091431140645,96.29185651595304
traditional,0.0,0.0,fundamental,position_limit,173,0.03409728902035321,0.11451630215023978,0.09497086810539981,0.0,0.0,0.9559907618266286,0.0010282242642197556,0.04344623385822933,0.004340831813966939,13.0,0.0,14.0,0.0,0.015435192289126806,0.1635575061234426,0.965772535742955,99.85548408191076,0.025631142653266013,0.20729106735973768,0.9607513479129307,96.74732672731851,0.021426279700164075,0.07306855383965863,0.9512301757403264,94.76648295695998
traditional,0.0,0.0,fundamental,position_limit,211,0.028661415660231237,0.08754384194551353,-6.544775473528164e-05,0.0,0.0,0.9550966419948252,0.0010256457745880792,0.049602375352281174,0.010407217018190806,3.0,0.0,8.0,0.0,0.018778922078631743,0.1600838996838722,0.963629516274633,101.54874386174848,0.024201709743840172,0.05424410215527745,0.9533489283944454,101.60165537761515,0.014588282062908664,0.0677336530600493,0.9568443555952051,99.14058702061232
traditional,0.0,0.0,fundamental,position_limit,257,0.02730364207732101,0.08506133800406196,0.11796934821298577,0.0,0.0,0.9615240130499347,0.0010059966056738848,0.04138764739257379,-0.0005008959053420803,1.0,0.0,2.0,0.0,0.017796341667478698,0.21504325869004534,0.962600514856886,105.71033436064455,0.020361321432160618,0.08016348923804181,0.9618435044535819,103.47673475629534,0.016618493972639214,0.1603876153815471,0.9612045216462878,102.5306486999568
traditional,0.0,0.0,fundamental,position_limit,307,0.0264902822873067,0.1379233076920035,0.12885707556664872,0.0,0.0,0.9603008753884571,0.0010035169506334468,0.03961125501254894,-0.0010289553993856337,4.0,0.0,0.0,0.0,0.02076286433077457,0.36593173245301414,0.9573035118716766,97.76259821964926,0.020019689637706554,0.14245448217432122,0.9576644664279758,95.4800394226196,0.01594459622366697,0.23116108183609732,0.9629372843489383,93.89302306333997
traditional,0.0,0.0,fundamental,liquidity_buffer,11,0.032899575514793514,0.1164240699275914,0.22624851418692024,0.0,0.0,0.9531748697533203,0.0010337377874679336,0.04868101908120019,0.007265742983484036,0.0,0.0,1.0,0.0,0.01942666523972473,0.19306638402929932,0.9599513422154127,99.06265042483963,0.024352792003773546,0.2893511807495789,0.9537161285101763,96.20305163553037,0.021412698837315506,0.23204971158707335,0.9526336109964643,95.1906659689901
traditional,0.0,0.0,fundamental,liquidity_buffer,29,0.028969524626951754,0.10787316424574973,0.0843140072330926,0.0,0.0,0.9584474125486299,0.0010156619422247545,0.04367086572969352,-0.0008211349176083793,0.0,0.0,2.0,0.0,0.01834324063778372,0.07309189210422903,0.9575654480101901,100.14804441082477,0.02378443024271252,0.13728260643058757,0.9576295571688758,97.86184369628961,0.01564119937920209,0.1127520715960765,0.9592652679283837,96.3976523401024
traditional,0.0,0.0,fundamental,liquidity_buffer,47,0.027539356871371025,0.08784616733445558,0.04274139189355849,0.0,0.0,0.9600218272768168,0.001008681370647535,0.0438328577866904,0.0012906712447011692,3.0,0.0,0.0,0.0,0.018742780300296386,0.0562959219064497,0.9612613183710067,101.04305284090842,0.021358185760254927,0.09738400194812691,0.9584938821381641,98.70301374422341,0.016179249878328465,0.12318492610764717,0.9615497724154696,97.13775153639489
traditional,0.0,0.0,fundamental,liquidity_buffer,71,0.027831627722086506,0.083494227691437,0.10463689676383307,0.0,0.0,0.9586910972459506,0.0010164123121416569,0.04405651746706324,0.00033503286036418167,4.0,0.0,2.0,0.0,0.01860191087572128,0.10646250196671889,0.9618341765729573,98.3601590074903,0.020197118150736736,0.16595901088288648,0.9610320702551924,97.21413559022916,0.01813689044514543,0.17608003127640762,0.9563501242367087,95.97546764510906
traditional,0.0,0.0,fundamental,liquidity_buffer,101,0.03180418021660916,0.09909929083232312,0.017563754673267318,0.0,0.0,0.9586268203133405,0.0010220002250733733,0.04412385828014236,0.005004347691426214,1.0,0.0,4.0,0.0,0.019420677915206297,0.14789345329704456,0.9636672893396755,99.14042224729474,0.021066040482764118,0.16905832555828565,0.9584693769117996,99.24089339356532,0.022827682701774165,0.004357252327725769,0.9587842637148813,97.54617933244033
traditional,0.0,0.0,fundamental,liquidity_buffer,131,0.030208051098129258,0.09649430377639981,-0.0140762796507405,0.0,0.0,0.95720240904847,0.0010192532039442332,0.043233486372987656,0.0046241837606804115,2.0,0.0,0.0,0.0,0.017924375844730462,0.16763116828491845,0.9621595124641178,100.83983880329325,0.02221568409044441,-0.10492228385589819,0.9567956749828755,98.98604801704188,0.01890850885439157,0.15360517734608212,0.9576091431140645,96.29185651595304
traditional,0.0,0.0,fundamental,liquidity_buffer,173,0.03409728902035321,0.11451630215023978,0.09497086810539981,0.0,0.0,0.9559907618266286,0.0010282242642197556,0.04344623385822933,0.004340831813966939,13.0,0.0,14.0,0.0,0.015435192289126806,0.1635575061234426,0.965772535742955,99.85548408191076,0.025631142653266013,0.20729106735973768,0.9607513479129307,96.74732672731851,0.021426279700164075,0.07306855383965863,0.9512301757403264,94.76648295695998
traditional,0.0,0.0,fundamental,liquidity_buffer,211,0.028661415660231237,0.08754384194551353,-6.544775473528164e-05,0.0,0.0,0.9550966419948252,0.0010256457745880792,0.049602375352281174,0.010407217018190806,3.0,0.0,8.0,0.0,0.018778922078631743,0.1600838996838722,0.963629516274633,101.54874386174848,0.024201709743840172,0.05424410215527745,0.9533489283944454,101.60165537761515,0.014588282062908664,0.0677336530600493,0.9568443555952051,99.14058702061232
traditional,0.0,0.0,fundamental,liquidity_buffer,257,0.02730364207732101,0.08506133800406196,0.11796934821298577,0.0,0.0,0.9615240130499347,0.0010059966056738848,0.04138764739257379,-0.0005008959053420803,1.0,0.0,2.0,0.0,0.017796341667478698,0.21504325869004534,0.962600514856886,105.71033436064455,0.020361321432160618,0.08016348923804181,0.9618435044535819,103.47673475629534,0.016618493972639214,0.1603876153815471,0.9612045216462878,102.5306486999568
traditional,0.0,0.0,fundamental,liquidity_buffer,307,0.0264902822873067,0.1379233076920035,0.12885707556664872,0.0,0.0,0.9603008753884571,0.0010035169506334468,0.03961125501254894,-0.0010289553993856337,4.0,0.0,0.0,0.0,0.02076286433077457,0.36593173245301414,0.9573035118716766,97.76259821964926,0.020019689637706554,0.14245448217432122,0.9576644664279758,95.4800394226196,0.01594459622366697,0.23116108183609732,0.9629372843489383,93.89302306333997
traditional,0.0,0.0,fundamental,circuit_breaker,11,0.032899575514793514,0.1164240699275914,0.22624851418692024,0.0,0.0,0.9531748697533203,0.0010337377874679336,0.04868101908120019,0.007265742983484036,0.0,0.0,1.0,0.0,0.01942666523972473,0.19306638402929932,0.9599513422154127,99.06265042483963,0.024352792003773546,0.2893511807495789,0.9537161285101763,96.20305163553037,0.021412698837315506,0.23204971158707335,0.9526336109964643,95.1906659689901
traditional,0.0,0.0,fundamental,circuit_breaker,29,0.028969524626951754,0.10787316424574973,0.0843140072330926,0.0,0.0,0.9584474125486299,0.0010156619422247545,0.04367086572969352,-0.0008211349176083793,0.0,0.0,2.0,0.0,0.01834324063778372,0.07309189210422903,0.9575654480101901,100.14804441082477,0.02378443024271252,0.13728260643058757,0.9576295571688758,97.86184369628961,0.01564119937920209,0.1127520715960765,0.9592652679283837,96.3976523401024
traditional,0.0,0.0,fundamental,circuit_breaker,47,0.027539356871371025,0.08784616733445558,0.04274139189355849,0.0,0.0,0.9600218272768168,0.001008681370647535,0.0438328577866904,0.0012906712447011692,3.0,0.0,0.0,0.0,0.018742780300296386,0.0562959219064497,0.9612613183710067,101.04305284090842,0.021358185760254927,0.09738400194812691,0.9584938821381641,98.70301374422341,0.016179249878328465,0.12318492610764717,0.9615497724154696,97.13775153639489
traditional,0.0,0.0,fundamental,circuit_breaker,71,0.027831627722086506,0.083494227691437,0.10463689676383307,0.0,0.0,0.9586910972459506,0.0010164123121416569,0.04405651746706324,0.00033503286036418167,4.0,0.0,2.0,0.0,0.01860191087572128,0.10646250196671889,0.9618341765729573,98.3601590074903,0.020197118150736736,0.16595901088288648,0.9610320702551924,97.21413559022916,0.01813689044514543,0.17608003127640762,0.9563501242367087,95.97546764510906
traditional,0.0,0.0,fundamental,circuit_breaker,101,0.03180418021660916,0.09909929083232312,0.017563754673267318,0.0,0.0,0.9586268203133405,0.0010220002250733733,0.04412385828014236,0.005004347691426214,1.0,0.0,4.0,0.0,0.019420677915206297,0.14789345329704456,0.9636672893396755,99.14042224729474,0.021066040482764118,0.16905832555828565,0.9584693769117996,99.24089339356532,0.022827682701774165,0.004357252327725769,0.9587842637148813,97.54617933244033
traditional,0.0,0.0,fundamental,circuit_breaker,131,0.030208051098129258,0.09649430377639981,-0.0140762796507405,0.0,0.0,0.95720240904847,0.0010192532039442332,0.043233486372987656,0.0046241837606804115,2.0,0.0,0.0,0.0,0.017924375844730462,0.16763116828491845,0.9621595124641178,100.83983880329325,0.02221568409044441,-0.10492228385589819,0.9567956749828755,98.98604801704188,0.01890850885439157,0.15360517734608212,0.9576091431140645,96.29185651595304
traditional,0.0,0.0,fundamental,circuit_breaker,173,0.03409728902035321,0.11451630215023978,0.09497086810539981,0.0,0.0,0.9559907618266286,0.0010282242642197556,0.04344623385822933,0.004340831813966939,13.0,0.0,14.0,0.0,0.015435192289126806,0.1635575061234426,0.965772535742955,99.85548408191076,0.025631142653266013,0.20729106735973768,0.9607513479129307,96.74732672731851,0.021426279700164075,0.07306855383965863,0.9512301757403264,94.76648295695998
traditional,0.0,0.0,fundamental,circuit_breaker,211,0.028661415660231237,0.08754384194551353,-6.544775473528164e-05,0.0,0.0,0.9550966419948252,0.0010256457745880792,0.049602375352281174,0.010407217018190806,3.0,0.0,8.0,0.0,0.018778922078631743,0.1600838996838722,0.963629516274633,101.54874386174848,0.024201709743840172,0.05424410215527745,0.9533489283944454,101.60165537761515,0.014588282062908664,0.0677336530600493,0.9568443555952051,99.14058702061232
traditional,0.0,0.0,fundamental,circuit_breaker,257,0.02730364207732101,0.08506133800406196,0.11796934821298577,0.0,0.0,0.9615240130499347,0.0010059966056738848,0.04138764739257379,-0.0005008959053420803,1.0,0.0,2.0,0.0,0.017796341667478698,0.21504325869004534,0.962600514856886,105.71033436064455,0.020361321432160618,0.08016348923804181,0.9618435044535819,103.47673475629534,0.016618493972639214,0.1603876153815471,0.9612045216462878,102.5306486999568
traditional,0.0,0.0,fundamental,circuit_breaker,307,0.0264902822873067,0.1379233076920035,0.12885707556664872,0.0,0.0,0.9603008753884571,0.0010035169506334468,0.03961125501254894,-0.0010289553993856337,4.0,0.0,0.0,0.0,0.02076286433077457,0.36593173245301414,0.9573035118716766,97.76259821964926,0.020019689637706554,0.14245448217432122,0.9576644664279758,95.4800394226196,0.01594459622366697,0.23116108183609732,0.9629372843489383,93.89302306333997
traditional,0.0,0.0,fundamental,all,11,0.032899575514793514,0.1164240699275914,0.22624851418692024,0.0,0.0,0.9531748697533203,0.0010337377874679336,0.04868101908120019,0.007265742983484036,0.0,0.0,1.0,0.0,0.01942666523972473,0.19306638402929932,0.9599513422154127,99.06265042483963,0.024352792003773546,0.2893511807495789,0.9537161285101763,96.20305163553037,0.021412698837315506,0.23204971158707335,0.9526336109964643,95.1906659689901
traditional,0.0,0.0,fundamental,all,29,0.028969524626951754,0.10787316424574973,0.0843140072330926,0.0,0.0,0.9584474125486299,0.0010156619422247545,0.04367086572969352,-0.0008211349176083793,0.0,0.0,2.0,0.0,0.01834324063778372,0.07309189210422903,0.9575654480101901,100.14804441082477,0.02378443024271252,0.13728260643058757,0.9576295571688758,97.86184369628961,0.01564119937920209,0.1127520715960765,0.9592652679283837,96.3976523401024
traditional,0.0,0.0,fundamental,all,47,0.027539356871371025,0.08784616733445558,0.04274139189355849,0.0,0.0,0.9600218272768168,0.001008681370647535,0.0438328577866904,0.0012906712447011692,3.0,0.0,0.0,0.0,0.018742780300296386,0.0562959219064497,0.9612613183710067,101.04305284090842,0.021358185760254927,0.09738400194812691,0.9584938821381641,98.70301374422341,0.016179249878328465,0.12318492610764717,0.9615497724154696,97.13775153639489
traditional,0.0,0.0,fundamental,all,71,0.027831627722086506,0.083494227691437,0.10463689676383307,0.0,0.0,0.9586910972459506,0.0010164123121416569,0.04405651746706324,0.00033503286036418167,4.0,0.0,2.0,0.0,0.01860191087572128,0.10646250196671889,0.9618341765729573,98.3601590074903,0.020197118150736736,0.16595901088288648,0.9610320702551924,97.21413559022916,0.01813689044514543,0.17608003127640762,0.9563501242367087,95.97546764510906
traditional,0.0,0.0,fundamental,all,101,0.03180418021660916,0.09909929083232312,0.017563754673267318,0.0,0.0,0.9586268203133405,0.0010220002250733733,0.04412385828014236,0.005004347691426214,1.0,0.0,4.0,0.0,0.019420677915206297,0.14789345329704456,0.9636672893396755,99.14042224729474,0.021066040482764118,0.16905832555828565,0.9584693769117996,99.24089339356532,0.022827682701774165,0.004357252327725769,0.9587842637148813,97.54617933244033
traditional,0.0,0.0,fundamental,all,131,0.030208051098129258,0.09649430377639981,-0.0140762796507405,0.0,0.0,0.95720240904847,0.0010192532039442332,0.043233486372987656,0.0046241837606804115,2.0,0.0,0.0,0.0,0.017924375844730462,0.16763116828491845,0.9621595124641178,100.83983880329325,0.02221568409044441,-0.10492228385589819,0.9567956749828755,98.98604801704188,0.01890850885439157,0.15360517734608212,0.9576091431140645,96.29185651595304
traditional,0.0,0.0,fundamental,all,173,0.03409728902035321,0.11451630215023978,0.09497086810539981,0.0,0.0,0.9559907618266286,0.0010282242642197556,0.04344623385822933,0.004340831813966939,13.0,0.0,14.0,0.0,0.015435192289126806,0.1635575061234426,0.965772535742955,99.85548408191076,0.025631142653266013,0.20729106735973768,0.9607513479129307,96.74732672731851,0.021426279700164075,0.07306855383965863,0.9512301757403264,94.76648295695998
traditional,0.0,0.0,fundamental,all,211,0.028661415660231237,0.08754384194551353,-6.544775473528164e-05,0.0,0.0,0.9550966419948252,0.0010256457745880792,0.049602375352281174,0.010407217018190806,3.0,0.0,8.0,0.0,0.018778922078631743,0.1600838996838722,0.963629516274633,101.54874386174848,0.024201709743840172,0.05424410215527745,0.9533489283944454,101.60165537761515,0.014588282062908664,0.0677336530600493,0.9568443555952051,99.14058702061232
traditional,0.0,0.0,fundamental,all,257,0.02730364207732101,0.08506133800406196,0.11796934821298577,0.0,0.0,0.9615240130499347,0.0010059966056738848,0.04138764739257379,-0.0005008959053420803,1.0,0.0,2.0,0.0,0.017796341667478698,0.21504325869004534,0.962600514856886,105.71033436064455,0.020361321432160618,0.08016348923804181,0.9618435044535819,103.47673475629534,0.016618493972639214,0.1603876153815471,0.9612045216462878,102.5306486999568
traditional,0.0,0.0,fundamental,all,307,0.0264902822873067,0.1379233076920035,0.12885707556664872,0.0,0.0,0.9603008753884571,0.0010035169506334468,0.03961125501254894,-0.0010289553993856337,4.0,0.0,0.0,0.0,0.02076286433077457,0.36593173245301414,0.9573035118716766,97.76259821964926,0.020019689637706554,0.14245448217432122,0.9576644664279758,95.4800394226196,0.01594459622366697,0.23116108183609732,0.9629372843489383,93.89302306333997
traditional,0.0,0.0,volatility,none,11,0.041644829702582147,0.14488845350635088,0.1491463437954658,0.0,0.0,0.9383760674250462,0.0010890583312429302,0.057516473455552504,0.02108070748639057,2.0,0.0,9.0,0.0,0.01942666523972473,0.19306638402929932,0.9599513422154127,99.06265042483963,0.03404690574761804,0.13311708382187779,0.9404441432149229,97.63292810630257,0.023941583271965806,0.1866918816868024,0.9363079916351694,94.83107194948244
traditional,0.0,0.0,volatility,none,29,0.034409173927568294,0.053116108018050445,0.09290242084314976,0.0,0.0,0.9521851468706967,0.0010448053482425485,0.05180831392905413,0.0030212141390835168,14.0,0.0,4.0,0.0,0.01834324063778372,0.07309189210422903,0.9575654480101901,100.14804441082477,0.02652425854146496,0.13558154424337038,0.9539530290688262,101.93247158453215,0.021155023602580852,0.008545190355483923,0.9504172646725673,104.4174880273858
